Cancer category,Phenotype (for filtering implications),Label,Region
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Actionable Gene List,AKT1
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Actionable Gene List,BRCA1
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Actionable Gene List,BRCA2
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Actionable Gene List,ERBB2
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Actionable Gene List,ESR1
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Actionable Gene List,NTRK1
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Actionable Gene List,NTRK2
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Actionable Gene List,NTRK3
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Actionable Gene List,PIK3CA
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Actionable Gene List,PTEN
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,AKT1
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,AR
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,ATM
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,BRCA1
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,BRCA2
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,CHEK2
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,ERBB2
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,ESR1
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,FGFR1
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,NTRK1
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,NTRK2
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,NTRK3
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,PALB2
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,PIK3CA
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,PTEN
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,RB1
Breast Cancer,Breast Carcinoma; Breast Ductal Carcinoma,Extended Gene List,TP53
